,id,name,rating,price,review_count,address,city,lat,long
656,blbSYWVZP4p7p5LsTEZ8Ow,YY Coffee & Milk Tea,3.9,$$,52,"2620 Ocean Ave, San Francisco, CA 94132",San Francisco,37.73197561154166,-122.47352542946383
657,L34UEAPljCFLcgdn1EIMvw,Sweet Cupz,3.8,$$,79,"1490 Ocean Ave, San Francisco, CA 94112",San Francisco,37.72453,-122.45788
658,XhbkZ-5nUJ3bRy7uKPx7iQ,Mr Szechuan,4.4,$$,747,"890 Taraval St, San Francisco, CA 94116",San Francisco,37.74331,-122.47544
659,xji2vmCj8kqsbA_cvd5hvw,Wonderful Dessert & Cafe,4.2,$$,1369,"2035 Irving St, San Francisco, CA 94122",San Francisco,37.7633252984489,-122.4799839282236
660,1fDiDH5aboQ9Jr9Yqhozpg,Happy Lemon,3.9,$$,191,"3 Serramonte Ctr, Unit 118 A, Daly City, CA 94015",Daly City,37.669602,-122.46941
661,1Jd60TVbJ4YxK7Hv0sTObQ,District Tea,4.3,$,455,"2154 Mission St, San Francisco, CA 94110",San Francisco,37.7625055,-122.41963973183654
662,sIqBYWmmqxM6WLkXOgG4pA,The Fate Tea House,4.2,N/A,55,"1181 Ocean Ave, San Francisco, CA 94112",San Francisco,37.723451,-122.454897
663,RmSm5ps0zgYer9xxApBVrQ,Golden Island Cafe,3.5,$,1024,"1300 Noriega St, San Francisco, CA 94122",San Francisco,37.75436,-122.47783
664,daoE5bWLpRyQW3mUs-vRPw,Foam Tea House,4.1,$,245,"1745 Taraval St, San Francisco, CA 94116",San Francisco,37.7424899,-122.48508
665,mTCkX1HoltvvjEoGKnJnnw,Ye Ye Coconut Snacks,4.1,N/A,28,"1143 Taraval St, San Francisco, CA 94116",San Francisco,37.742769,-122.4786
666,JGu91FLy2_BpyIFhyozLEQ,Wanpo Tea Shop - San Francisco,3.1,$$,52,"3251 20th Ave, San Francisco, CA 94132",San Francisco,37.72772665229493,-122.4769749
